epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
135,4959.59,1.18416,0.9698,0.00651,0.56372,0.61007,0.59302,0.3858,1.78134,2.00593,0.0131,0.000160269,0.000160269,0.000160269
136,4995.85,1.20875,0.99858,0.00658,0.54456,0.58313,0.58447,0.39127,1.77632,2.01948,0.01337,0.000157913,0.000157913,0.000157913
137,5031.42,1.19364,0.9789,0.00668,0.5592,0.60259,0.60362,0.39782,1.84644,1.97999,0.01351,0.000155557,0.000155557,0.000155557
138,5067.48,1.17773,0.95447,0.00683,0.58052,0.58755,0.58302,0.39531,1.79202,2.01658,0.01269,0.000153201,0.000153201,0.000153201
139,5103.34,1.17698,0.92263,0.00679,0.56547,0.57677,0.58427,0.3945,1.78653,2.08984,0.01322,0.000150844,0.000150844,0.000150844
140,5139.48,1.1754,0.9672,0.00698,0.59389,0.58341,0.61202,0.40675,1.7829,2.00328,0.01348,0.000148488,0.000148488,0.000148488
141,5175.61,1.17482,0.9007,0.00643,0.58836,0.5896,0.60388,0.40148,1.75522,2.05093,0.01327,0.000146132,0.000146132,0.000146132
142,5211.24,1.13434,0.88796,0.00622,0.65494,0.55113,0.59652,0.39868,1.8135,2.03821,0.01377,0.000143776,0.000143776,0.000143776
143,5246.63,1.18316,0.94435,0.00701,0.58033,0.56591,0.58529,0.40373,1.78201,2.01794,0.01361,0.00014142,0.00014142,0.00014142
144,5282.52,1.17791,0.89288,0.0063,0.57416,0.5824,0.58867,0.4075,1.76808,2.00574,0.01302,0.000139063,0.000139063,0.000139063
145,5318.7,1.13866,0.90014,0.00633,0.57807,0.61809,0.61126,0.40547,1.77108,2.0382,0.01305,0.000136707,0.000136707,0.000136707
146,5355.07,1.15902,0.90743,0.00658,0.56639,0.58978,0.59317,0.39152,1.77518,2.05145,0.0127,0.000134351,0.000134351,0.000134351
147,5390.57,1.17924,0.91634,0.0064,0.53627,0.61137,0.5822,0.39109,1.79065,2.15083,0.01301,0.000131995,0.000131995,0.000131995
148,5426.82,1.15346,0.89405,0.00643,0.61292,0.55134,0.58579,0.3919,1.80624,2.07432,0.01321,0.000129639,0.000129639,0.000129639
149,5462.63,1.1555,0.90554,0.00628,0.57239,0.58642,0.58901,0.40554,1.80371,2.0508,0.01378,0.000127282,0.000127282,0.000127282
150,5498.56,1.16726,0.91156,0.00626,0.63598,0.57478,0.59445,0.40437,1.82366,2.0935,0.01369,0.000124926,0.000124926,0.000124926
151,5535.02,1.09855,0.87904,0.00638,0.57189,0.60419,0.59504,0.39875,1.78033,2.10248,0.01306,0.00012257,0.00012257,0.00012257
152,5571.12,1.1098,0.85975,0.00623,0.53622,0.60257,0.58273,0.39343,1.82147,2.03668,0.01362,0.000120214,0.000120214,0.000120214
153,5607.18,1.11255,0.87722,0.00618,0.61821,0.56335,0.59825,0.40157,1.81648,2.07571,0.01361,0.000117858,0.000117858,0.000117858
154,5642.93,1.10884,0.88131,0.00616,0.57317,0.58857,0.5921,0.40272,1.80094,2.06872,0.01317,0.000115501,0.000115501,0.000115501
155,5679.3,1.09686,0.8427,0.00598,0.7004,0.54374,0.60262,0.40617,1.78366,2.03628,0.01317,0.000113145,0.000113145,0.000113145
156,5715.57,1.13687,0.89749,0.00623,0.69242,0.54221,0.59029,0.40396,1.80215,2.02807,0.01279,0.000110789,0.000110789,0.000110789
157,5751.01,1.12982,0.84126,0.00621,0.60288,0.55217,0.58143,0.39296,1.78049,2.10235,0.01275,0.000108433,0.000108433,0.000108433
